"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Capital and Coast","Total","proportion",0.907150480256137,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Counties Manukau","Total","proportion",0.906264501160093,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","proportion",0.897769516728624,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hutt Valley","Total","proportion",0.894845360824742,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Lakes","Total","proportion",0.807407407407407,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"MidCentral","Total","proportion",0.887417218543046,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","proportion",0.890995260663507,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Northland","Total","proportion",0.802232854864434,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"South Canterbury","Total","proportion",0.933701657458564,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Southern","Total","proportion",0.922912205567452,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Tairawhiti","Total","proportion",0.927777777777778,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Taranaki","Total","proportion",0.885572139303483,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waikato","Total","proportion",0.875776397515528,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Wairarapa","Total","proportion",0.951048951048951,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waitemata","Total","proportion",0.89593657086224,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"West Coast","Total","proportion",0.837209302325581,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Whanganui","Total","proportion",0.862385321100918,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"National","Total","proportion",0.896882187579862,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Auckland","NZE","eligible",344,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Bay of Plenty","NZE","eligible",362,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Canterbury","NZE","eligible",923,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Capital and Coast","NZE","eligible",382,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Counties Manukau","NZE","eligible",378,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hawkes Bay","NZE","eligible",196,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hutt Valley","NZE","eligible",185,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Lakes","NZE","eligible",153,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"MidCentral","NZE","eligible",271,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Nelson Marlborough","NZE","eligible",248,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
