"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible","1493","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","eligible","778","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Canterbury","Total","eligible","1589","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Capital and Coast","Total","eligible","885","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Counties Manukau","Total","eligible","2121","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","eligible","572","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Hutt Valley","Total","eligible","544","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Lakes","Total","eligible","412","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"MidCentral","Total","eligible","586","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","eligible","445","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Northland","Total","eligible","650","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"South Canterbury","Total","eligible","202","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Southern","Total","eligible","957","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Tairawhiti","Total","eligible","186","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Taranaki","Total","eligible","385","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Waikato","Total","eligible","1437","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Wairarapa","Total","eligible","132","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Waitemata","Total","eligible","1981","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"West Coast","Total","eligible","93","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Whanganui","Total","eligible","221","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"National","Total","eligible","15669","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Auckland","Total","full","1287","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","full","613","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Canterbury","Total","full","1452","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Capital and Coast","Total","full","807","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Counties Manukau","Total","full","1864","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","full","532","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Hutt Valley","Total","full","476","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Lakes","Total","full","359","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"MidCentral","Total","full","550","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","full","384","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Northland","Total","full","522","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"South Canterbury","Total","full","185","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Southern","Total","full","874","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Tairawhiti","Total","full","168","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Taranaki","Total","full","336","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Waikato","Total","full","1199","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Wairarapa","Total","full","121","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Waitemata","Total","full","1648","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"West Coast","Total","full","79","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Whanganui","Total","full","188","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"National","Total","full","13644","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Auckland","Total","proportion","0.862022772940388","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","proportion","0.787917737789203","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Canterbury","Total","proportion","0.913782252989301","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Capital and Coast","Total","proportion","0.911864406779661","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Counties Manukau","Total","proportion","0.878830740216879","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","proportion","0.93006993006993","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Hutt Valley","Total","proportion","0.875","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Lakes","Total","proportion","0.871359223300971","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"MidCentral","Total","proportion","0.938566552901024","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","proportion","0.862921348314607","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Northland","Total","proportion","0.803076923076923","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"South Canterbury","Total","proportion","0.915841584158416","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Southern","Total","proportion","0.913270637408568","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Tairawhiti","Total","proportion","0.903225806451613","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Taranaki","Total","proportion","0.872727272727273","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Waikato","Total","proportion","0.83437717466945","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Wairarapa","Total","proportion","0.916666666666667","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Waitemata","Total","proportion","0.831903079252903","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"West Coast","Total","proportion","0.849462365591398","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Whanganui","Total","proportion","0.850678733031674","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"National","Total","proportion","0.870763928776565","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Auckland","NZE","eligible","369","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Bay of Plenty","NZE","eligible","281","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
"Canterbury","NZE","eligible","775","5 years","1 April 2016 to 30 June 2016 (Excel, 138 KB).xlsx","Ethnicity"
