"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Capital and Coast","Total","proportion",0.89377085650723,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Counties Manukau","Total","proportion",0.905590062111801,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","proportion",0.910008779631255,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hutt Valley","Total","proportion",0.884724857685009,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Lakes","Total","proportion",0.819195046439628,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"MidCentral","Total","proportion",0.909565217391304,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","proportion",0.861946902654867,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Northland","Total","proportion",0.802124311565696,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"South Canterbury","Total","proportion",0.922627737226277,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Southern","Total","proportion",0.926262356398611,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Tairawhiti","Total","proportion",0.887417218543046,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Taranaki","Total","proportion",0.880044843049328,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waikato","Total","proportion",0.858952702702703,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Wairarapa","Total","proportion",0.920277296360485,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waitemata","Total","proportion",0.875816244701569,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
