"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible",6232,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Bay of Plenty","Total","eligible",3390,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Canterbury","Total","eligible",6699,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Capital & Coast","Total","eligible",3909,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Counties Manukau","Total","eligible",9364,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Hawkes Bay","Total","eligible",2341,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Hutt Valley","Total","eligible",2188,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Lakes","Total","eligible",1684,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Midcentral","Total","eligible",2441,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Nelson Marlborough","Total","eligible",1799,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Northland","Total","eligible",2581,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"South Canterbury","Total","eligible",700,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Southern","Total","eligible",3855,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Tairawhiti","Total","eligible",792,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Taranaki","Total","eligible",1700,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
"Waikato","Total","eligible",5979,"5 years","1 April 2015 to 31 March 2016 (Excel, 190 KB).xls","Ethnicity"
