"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible","5730","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","eligible","3307","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Canterbury","Total","eligible","6494","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Capital and Coast","Total","eligible","3738","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Counties Manukau","Total","eligible","8513","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","eligible","2366","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Hutt Valley","Total","eligible","2063","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Lakes","Total","eligible","1506","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"MidCentral","Total","eligible","2243","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","eligible","1722","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Northland","Total","eligible","2448","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"South Canterbury","Total","eligible","713","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Southern","Total","eligible","3813","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Tairawhiti","Total","eligible","761","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Taranaki","Total","eligible","1656","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Waikato","Total","eligible","5770","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Wairarapa","Total","eligible","554","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Waitemata","Total","eligible","8318","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"West Coast","Total","eligible","370","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Whanganui","Total","eligible","872","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"National","Total","eligible","62957","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Auckland","Total","full","4942","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","full","2627","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Canterbury","Total","full","5979","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Capital and Coast","Total","full","3370","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Counties Manukau","Total","full","7615","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","full","2142","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Hutt Valley","Total","full","1859","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Lakes","Total","full","1240","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"MidCentral","Total","full","2046","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","full","1502","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Northland","Total","full","2046","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"South Canterbury","Total","full","647","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Southern","Total","full","3511","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Tairawhiti","Total","full","679","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Taranaki","Total","full","1459","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Waikato","Total","full","4908","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Wairarapa","Total","full","511","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Waitemata","Total","full","7127","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"West Coast","Total","full","283","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Whanganui","Total","full","769","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"National","Total","full","55262","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Auckland","Total","proportion","0.862478184991274","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","proportion","0.794375566979135","5 years","1 April 2018 to 31 March 2019 (Excel, 142 KB).xlsx","Ethnicity"
