"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Capital and Coast","Total","proportion","0.916756756756757","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Counties Manukau","Total","proportion","0.902862505865791","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","proportion","0.930232558139535","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hutt Valley","Total","proportion","0.914728682170543","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Lakes","Total","proportion","0.820441988950276","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"MidCentral","Total","proportion","0.922348484848485","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","proportion","0.887530562347188","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Northland","Total","proportion","0.839590443686007","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"South Canterbury","Total","proportion","0.922155688622755","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Southern","Total","proportion","0.929270946681175","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Tairawhiti","Total","proportion","0.887700534759358","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Taranaki","Total","proportion","0.881909547738693","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waikato","Total","proportion","0.846048109965636","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Wairarapa","Total","proportion","0.942622950819672","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waitemata","Total","proportion","0.849802371541502","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"West Coast","Total","proportion","0.808988764044944","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Whanganui","Total","proportion","0.872448979591837","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"National","Total","proportion","0.879973907371168","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Auckland","NZE","eligible","418","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Bay of Plenty","NZE","eligible","375","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Canterbury","NZE","eligible","936","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Capital and Coast","NZE","eligible","420","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Counties Manukau","NZE","eligible","390","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hawkes Bay","NZE","eligible","217","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hutt Valley","NZE","eligible","214","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Lakes","NZE","eligible","125","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"MidCentral","NZE","eligible","267","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Nelson Marlborough","NZE","eligible","273","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Northland","NZE","eligible","203","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"South Canterbury","NZE","eligible","115","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Southern","NZE","eligible","604","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Tairawhiti","NZE","eligible","60","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Taranaki","NZE","eligible","236","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waikato","NZE","eligible","658","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Wairarapa","NZE","eligible","64","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waitemata","NZE","eligible","777","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
