"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible","1476","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","eligible","845","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Canterbury","Total","eligible","1612","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Capital and Coast","Total","eligible","938","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Counties Manukau","Total","eligible","2205","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","eligible","572","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Hutt Valley","Total","eligible","532","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Lakes","Total","eligible","436","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"MidCentral","Total","eligible","547","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","eligible","446","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Northland","Total","eligible","616","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"South Canterbury","Total","eligible","173","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Southern","Total","eligible","951","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Tairawhiti","Total","eligible","185","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Taranaki","Total","eligible","428","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Waikato","Total","eligible","1499","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Wairarapa","Total","eligible","136","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Waitemata","Total","eligible","2044","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"West Coast","Total","eligible","79","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Whanganui","Total","eligible","232","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"National","Total","eligible","15952","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Auckland","Total","full","1281","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","full","687","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Canterbury","Total","full","1503","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Capital and Coast","Total","full","848","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Counties Manukau","Total","full","2021","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","full","533","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Hutt Valley","Total","full","487","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Lakes","Total","full","371","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"MidCentral","Total","full","507","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","full","392","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Northland","Total","full","516","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"South Canterbury","Total","full","164","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Southern","Total","full","874","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Tairawhiti","Total","full","162","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Taranaki","Total","full","401","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Waikato","Total","full","1297","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Wairarapa","Total","full","130","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Waitemata","Total","full","1721","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"West Coast","Total","full","63","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Whanganui","Total","full","209","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"National","Total","full","14167","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Auckland","Total","proportion","0.867886178861789","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","proportion","0.81301775147929","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Canterbury","Total","proportion","0.932382133995037","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Capital and Coast","Total","proportion","0.904051172707889","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Counties Manukau","Total","proportion","0.91655328798186","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","proportion","0.931818181818182","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Hutt Valley","Total","proportion","0.915413533834586","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Lakes","Total","proportion","0.850917431192661","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"MidCentral","Total","proportion","0.926873857404022","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","proportion","0.878923766816143","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Northland","Total","proportion","0.837662337662338","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"South Canterbury","Total","proportion","0.947976878612717","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Southern","Total","proportion","0.919032597266036","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Tairawhiti","Total","proportion","0.875675675675676","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Taranaki","Total","proportion","0.936915887850467","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Waikato","Total","proportion","0.865243495663776","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Wairarapa","Total","proportion","0.955882352941177","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Waitemata","Total","proportion","0.841976516634051","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"West Coast","Total","proportion","0.79746835443038","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"Whanganui","Total","proportion","0.900862068965517","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
"National","Total","proportion","0.888101805416249","5 years","1 April 2017 to 30 June 2017 (Excel, 135 KB).xlsx","Ethnicity"
