"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible","1446","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","eligible","803","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Canterbury","Total","eligible","1667","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Capital and Coast","Total","eligible","895","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Counties Manukau","Total","eligible","2210","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","eligible","562","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Hutt Valley","Total","eligible","516","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Lakes","Total","eligible","368","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"MidCentral","Total","eligible","600","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","eligible","420","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Northland","Total","eligible","630","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"South Canterbury","Total","eligible","196","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Southern","Total","eligible","918","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Tairawhiti","Total","eligible","197","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Taranaki","Total","eligible","430","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Waikato","Total","eligible","1431","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Wairarapa","Total","eligible","142","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Waitemata","Total","eligible","2088","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"West Coast","Total","eligible","91","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Whanganui","Total","eligible","211","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"National","Total","eligible","15821","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Auckland","Total","full","1289","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","full","660","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Canterbury","Total","full","1533","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Capital and Coast","Total","full","801","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Counties Manukau","Total","full","2000","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","full","505","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Hutt Valley","Total","full","465","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
"Lakes","Total","full","302","5 years","1 April 2019 to 30 June 2019 (Excel, 138 KB).xlsx","Ethnicity"
